person|country|tagClass|minPathDistance|maxPathDistance
35184372111337|Pakistan|OfficeHolder|3|8
8796093053059|Pakistan|OfficeHolder|4|6
6597069825703|Pakistan|OfficeHolder|4|7
40526|Pakistan|OfficeHolder|4|8
28587302371867|Pakistan|OfficeHolder|5|7
21990232562591|Pakistan|OfficeHolder|5|8
2199023276070|Pakistan|OfficeHolder|6|8
26388279138878|Pakistan|Writer|3|5
17592186104118|Pakistan|Writer|3|6
30786325605719|Pakistan|Writer|3|7
8796093093942|Pakistan|Writer|3|8
17592186074333|Pakistan|Writer|4|6
4398046550636|Pakistan|Writer|4|7
28587302378046|Pakistan|Writer|4|8
19791209356013|Pakistan|Writer|5|7
35184372113349|Pakistan|Writer|5|8
30786325625416|Pakistan|Writer|6|8
8796093058234|Pakistan|BritishRoyalty|3|5
2199023288471|Pakistan|BritishRoyalty|3|6
19791209323556|Pakistan|BritishRoyalty|3|7
4398046512521|Pakistan|BritishRoyalty|3|8
28587302391508|Pakistan|BritishRoyalty|4|6
44150|Pakistan|BritishRoyalty|4|7
17592186109332|Pakistan|BritishRoyalty|4|8
19791209318634|Pakistan|BritishRoyalty|5|7
2199023286036|Pakistan|BritishRoyalty|5|8
30786325632860|Pakistan|BritishRoyalty|6|8
10995116289482|Germany|MusicalArtist|3|5
17592186113013|Germany|MusicalArtist|3|6
6597069769317|Germany|MusicalArtist|3|7
2199023278215|Germany|MusicalArtist|3|8
21990232610042|Germany|MusicalArtist|4|6
4398046570038|Germany|MusicalArtist|4|7
13194139583366|Germany|MusicalArtist|4|8
10995116302798|Germany|MusicalArtist|5|7
4398046556656|Germany|MusicalArtist|5|8
8796093074139|Germany|MusicalArtist|6|8
19791209317302|Germany|OfficeHolder|3|5
24189255863383|Germany|OfficeHolder|3|6
28587302356273|Germany|OfficeHolder|3|7
13194139587178|Germany|OfficeHolder|3|8
21990232567601|Germany|OfficeHolder|4|6
4398046513494|Germany|OfficeHolder|4|7
15393162842818|Germany|OfficeHolder|4|8
13194139604627|Germany|OfficeHolder|5|7
10995116313468|Germany|OfficeHolder|5|8
17592186070790|Germany|OfficeHolder|6|8
30786325607851|Germany|Writer|3|5
28587302324753|Germany|Writer|3|6
21990232627287|Germany|Writer|3|7
6597069794461|Germany|Writer|3|8
19791209348897|Germany|Writer|4|6
26388279088910|Germany|Writer|4|7
2199023325955|Germany|Writer|4|8
2199023284986|Germany|Writer|5|7
21990232565719|Germany|Writer|5|8
13194139579307|Germany|Writer|6|8
17641|Germany|BritishRoyalty|3|5
4398046539318|Germany|BritishRoyalty|3|6
10995116279596|Germany|BritishRoyalty|3|7
35184372097200|Germany|BritishRoyalty|3|8
32985348883886|Germany|BritishRoyalty|4|6
21990232589039|Germany|BritishRoyalty|4|7
32985348851910|Germany|BritishRoyalty|4|8
21990232584532|Germany|BritishRoyalty|5|7
17592186102217|Germany|BritishRoyalty|5|8
26388279076043|Germany|BritishRoyalty|6|8
13194139583615|Russia|MusicalArtist|3|5
48425|Russia|MusicalArtist|3|6
13194139568179|Russia|MusicalArtist|3|7
10995116332194|Russia|MusicalArtist|3|8
24187|Russia|MusicalArtist|4|6
6597069830945|Russia|MusicalArtist|4|7
10995116345364|Russia|MusicalArtist|4|8
24189255874667|Russia|MusicalArtist|5|7
19791209315385|Russia|MusicalArtist|5|8
24189255822724|Russia|MusicalArtist|6|8
2199023321832|Russia|OfficeHolder|3|5
30786325584955|Russia|OfficeHolder|3|6
26388279128368|Russia|OfficeHolder|3|7
30786325603624|Russia|OfficeHolder|3|8
30786325636538|Russia|OfficeHolder|4|6
21990232570030|Russia|OfficeHolder|4|7
24189255871907|Russia|OfficeHolder|4|8
2199023307335|Russia|OfficeHolder|5|7
13194139599609|Russia|OfficeHolder|5|8
8796093064606|Russia|OfficeHolder|6|8
32985348847984|Russia|Writer|3|5
30786325650027|Russia|Writer|3|6
24189255830499|Russia|Writer|3|7
32985348899943|Russia|Writer|3|8
28587302347586|Russia|Writer|4|6
26388279126023|Russia|Writer|4|7
17592186067036|Russia|Writer|4|8
32985348877071|Russia|Writer|5|7
21990232599332|Russia|Writer|5|8
26388279082203|Russia|Writer|6|8
21990232618102|Russia|BritishRoyalty|3|5
15393162823934|Russia|BritishRoyalty|3|6
10995116315423|Russia|BritishRoyalty|3|7
19791209343876|Russia|BritishRoyalty|3|8
26388279087057|Russia|BritishRoyalty|4|6
19791209318028|Russia|BritishRoyalty|4|7
28587302355963|Russia|BritishRoyalty|4|8
4398046548243|Russia|BritishRoyalty|5|7
10995116330651|Russia|BritishRoyalty|5|8
13194139573419|Russia|BritishRoyalty|6|8
24189255823947|Japan|MusicalArtist|3|5
26388279113082|Japan|MusicalArtist|3|6
2199023292581|Japan|MusicalArtist|3|7
30786325649775|Japan|MusicalArtist|3|8
8796093024710|Japan|MusicalArtist|4|6
2199023300456|Japan|MusicalArtist|4|7
24189255851703|Japan|MusicalArtist|4|8
26388279102535|Japan|MusicalArtist|5|7
30786325593742|Japan|MusicalArtist|5|8
17592186097905|Japan|MusicalArtist|6|8
6597069798247|Japan|OfficeHolder|3|5
10995116319625|Japan|OfficeHolder|3|6
28587302324269|Japan|OfficeHolder|3|7
19791209351618|Japan|OfficeHolder|3|8
26388279117857|Japan|OfficeHolder|4|6
24189255863882|Japan|OfficeHolder|4|7
6597069777984|Japan|OfficeHolder|4|8
15393162842372|Japan|OfficeHolder|5|7
28587302389194|Japan|OfficeHolder|5|8
26388279084733|Japan|OfficeHolder|6|8
2199023285009|Japan|Writer|3|5
13194139590301|Japan|Writer|3|6
26388279084433|Japan|Writer|3|7
4398046547166|Japan|Writer|3|8
4398046527851|Japan|Writer|4|6
17592186079035|Japan|Writer|4|7
17592186100749|Japan|Writer|4|8
19791209344234|Japan|Writer|5|7
28587302384488|Japan|Writer|5|8
6597069783795|Japan|Writer|6|8
8796093086412|Japan|BritishRoyalty|3|5
19791209331077|Japan|BritishRoyalty|3|6
21575|Japan|BritishRoyalty|3|7
10995116347043|Japan|BritishRoyalty|3|8
26388279120564|Japan|BritishRoyalty|4|6
30786325617881|Japan|BritishRoyalty|4|7
21990232572763|Japan|BritishRoyalty|4|8
8796093064881|Japan|BritishRoyalty|5|7
2199023323025|Japan|BritishRoyalty|5|8
8796093046710|Japan|BritishRoyalty|6|8
2199023323802|Indonesia|MusicalArtist|3|5
28587302361152|Indonesia|MusicalArtist|3|6
24189255826945|Indonesia|MusicalArtist|3|7
4398046516443|Indonesia|MusicalArtist|3|8
17592186071433|Indonesia|MusicalArtist|4|6
13194139588387|Indonesia|MusicalArtist|4|7
72324|Indonesia|MusicalArtist|4|8
24189255830360|Indonesia|MusicalArtist|5|7
32985348889015|Indonesia|MusicalArtist|5|8
2199023309638|Indonesia|MusicalArtist|6|8
8796093032259|Indonesia|OfficeHolder|3|5
6597069804373|Indonesia|OfficeHolder|3|6
10995116307455|Indonesia|OfficeHolder|3|7
32756|Indonesia|OfficeHolder|3|8
4398046515646|Indonesia|OfficeHolder|4|6
6597069811880|Indonesia|OfficeHolder|4|7
19791209311712|Indonesia|OfficeHolder|4|8
19791209366978|Indonesia|OfficeHolder|5|7
30786325607737|Indonesia|OfficeHolder|5|8
28587302344798|Indonesia|OfficeHolder|6|8
28587302394206|Indonesia|Writer|3|5
24189255879059|Indonesia|Writer|3|6
26388279099479|Indonesia|Writer|3|7
10995116326660|Indonesia|Writer|3|8
24189255824106|Indonesia|Writer|4|6
4398046568266|Indonesia|Writer|4|7
2199023286891|Indonesia|Writer|4|8
21990232576419|Indonesia|Writer|5|7
6205|Indonesia|Writer|5|8
32985348899514|Indonesia|Writer|6|8
15393162790582|Indonesia|BritishRoyalty|3|5
24189255819389|Indonesia|BritishRoyalty|3|6
4398046576911|Indonesia|BritishRoyalty|3|7
16592|Indonesia|BritishRoyalty|3|8
28587302370875|Indonesia|BritishRoyalty|4|6
24189255870558|Indonesia|BritishRoyalty|4|7
21990232559828|Indonesia|BritishRoyalty|4|8
30786325645596|Indonesia|BritishRoyalty|5|7
19791209360636|Indonesia|BritishRoyalty|5|8
8796093069912|Indonesia|BritishRoyalty|6|8
8796093071540|Philippines|MusicalArtist|3|5
6597069786708|Philippines|MusicalArtist|3|6
26388279080581|Philippines|MusicalArtist|3|7
8796093062345|Philippines|MusicalArtist|3|8
6597069785726|Philippines|MusicalArtist|4|6
17592186106262|Philippines|MusicalArtist|4|7
15393162795580|Philippines|MusicalArtist|4|8
8796093068656|Philippines|MusicalArtist|5|7
32985348879834|Philippines|MusicalArtist|5|8
30786325620968|Philippines|MusicalArtist|6|8
32985348847803|Philippines|OfficeHolder|3|5
30786325627415|Philippines|OfficeHolder|3|6
15393162801394|Philippines|OfficeHolder|3|7
26388279123012|Philippines|OfficeHolder|3|8
13194139581399|Philippines|OfficeHolder|4|6
8796093025055|Philippines|OfficeHolder|4|7
26388279100600|Philippines|OfficeHolder|4|8
32985348875558|Philippines|OfficeHolder|5|7
21990232598263|Philippines|OfficeHolder|5|8
28587302362814|Philippines|OfficeHolder|6|8
26388279071464|Philippines|Writer|3|5
4398046559224|Philippines|Writer|3|6
28587302379931|Philippines|Writer|3|7
6597069822596|Philippines|Writer|3|8
28587302346646|Philippines|Writer|4|6
8796093074787|Philippines|Writer|4|7
32985348868243|Philippines|Writer|4|8
46201|Philippines|Writer|5|7
24189255871297|Philippines|Writer|5|8
15393162812518|Philippines|Writer|6|8
2199023288060|Philippines|BritishRoyalty|3|5
26388279126900|Philippines|BritishRoyalty|3|6
17592186089521|Philippines|BritishRoyalty|3|7
21990232568410|Philippines|BritishRoyalty|3|8
19791209301286|Philippines|BritishRoyalty|4|6
6597069810510|Philippines|BritishRoyalty|4|7
10995116297548|Philippines|BritishRoyalty|4|8
30786325603336|Philippines|BritishRoyalty|5|7
10995116313426|Philippines|BritishRoyalty|5|8
10995116319861|Philippines|BritishRoyalty|6|8
32985348836025|Brazil|MusicalArtist|3|5
15393162795699|Brazil|MusicalArtist|3|6
26388279078094|Brazil|MusicalArtist|3|7
19791209319724|Brazil|MusicalArtist|3|8
2199023285221|Brazil|MusicalArtist|4|6
4398046512306|Brazil|MusicalArtist|4|7
8796093027436|Brazil|MusicalArtist|4|8
28587302325422|Brazil|MusicalArtist|5|7
28587302336941|Brazil|MusicalArtist|5|8
4398046583065|Brazil|MusicalArtist|6|8
6597069798563|Brazil|OfficeHolder|3|5
17592186072134|Brazil|OfficeHolder|3|6
28587302367017|Brazil|OfficeHolder|3|7
4398046575203|Brazil|OfficeHolder|3|8
2199023263028|Brazil|OfficeHolder|4|6
28587302372090|Brazil|OfficeHolder|4|7
13194139543009|Brazil|OfficeHolder|4|8
24189255842430|Brazil|OfficeHolder|5|7
26388279082606|Brazil|OfficeHolder|5|8
2199023271392|Brazil|OfficeHolder|6|8
21990232626190|Brazil|Writer|3|5
2199023300595|Brazil|Writer|3|6
17592186092686|Brazil|Writer|3|7
26388279107055|Brazil|Writer|3|8
28587302392452|Brazil|Writer|4|6
6597069834653|Brazil|Writer|4|7
28587302372940|Brazil|Writer|4|8
28587302351129|Brazil|Writer|5|7
17592186051974|Brazil|Writer|5|8
30786325586650|Brazil|Writer|6|8
19791209356008|Brazil|BritishRoyalty|3|5
8796093079089|Brazil|BritishRoyalty|3|6
28587302369253|Brazil|BritishRoyalty|3|7
17592186092541|Brazil|BritishRoyalty|3|8
2199023304850|Brazil|BritishRoyalty|4|6
19791209328304|Brazil|BritishRoyalty|4|7
28524|Brazil|BritishRoyalty|4|8
26388279103205|Brazil|BritishRoyalty|5|7
17592186099265|Brazil|BritishRoyalty|5|8
30786325601094|Brazil|BritishRoyalty|6|8
13194139593868|United_States|MusicalArtist|3|5
15393162858719|United_States|MusicalArtist|3|6
30786325616906|United_States|MusicalArtist|3|7
13194139604657|United_States|MusicalArtist|3|8
26388279138029|United_States|MusicalArtist|4|6
24189255855184|United_States|MusicalArtist|4|7
26388279074412|United_States|MusicalArtist|4|8
32985348873926|United_States|MusicalArtist|5|7
8796093082490|United_States|MusicalArtist|5|8
26388279109965|United_States|MusicalArtist|6|8
2199023275648|United_States|OfficeHolder|3|5
26388279093524|United_States|OfficeHolder|3|6
19791209319984|United_States|OfficeHolder|3|7
32985348856637|United_States|OfficeHolder|3|8
15393162805628|United_States|OfficeHolder|4|6
13194139544019|United_States|OfficeHolder|4|7
32985348897766|United_States|OfficeHolder|4|8
21990232583067|United_States|OfficeHolder|5|7
28587302382011|United_States|OfficeHolder|5|8
26221|United_States|OfficeHolder|6|8
17592186114864|United_States|Writer|3|5
15393162808401|United_States|Writer|3|6
2199023294868|United_States|Writer|3|7
8796093083420|United_States|Writer|3|8
6597069787041|United_States|Writer|4|6
32985348849232|United_States|Writer|4|7
6597069782435|United_States|Writer|4|8
8796093083214|United_States|Writer|5|7
2199023273592|United_States|Writer|5|8
19791209362302|United_States|Writer|6|8
32985348866248|United_States|BritishRoyalty|3|5
30786325597520|United_States|BritishRoyalty|3|6
32985348865697|United_States|BritishRoyalty|3|7
15393162797795|United_States|BritishRoyalty|3|8
26388279122268|United_States|BritishRoyalty|4|6
8796093068109|United_States|BritishRoyalty|4|7
4398046519064|United_States|BritishRoyalty|4|8
33730|United_States|BritishRoyalty|5|7
8796093092335|United_States|BritishRoyalty|5|8
8796093037292|United_States|BritishRoyalty|6|8
